"id","name","var","llave","nombre"
15,"Left Center Midfield","position.id","position.id-15","Mediocampista central izquierdo - LCM"
16,"Left Midfield","position.id","position.id-16","Mediocampista izquierdo - LM"
23,"Center Forward","position.id","position.id-23","Delantero centro - ST"
5,"Left Center Back","position.id","position.id-5","Defensor central izquierdo - LCB"
17,"Right Wing","position.id","position.id-17","Volante ofensivo derecho - RW"
12,"Right Midfield","position.id","position.id-12","Mediocampista derecho - RM"
19,"Center Attacking Midfield","position.id","position.id-19","Mediocampista ofensivo central - CAM"
3,"Right Center Back","position.id","position.id-3","Defensor central derecho - RCB"
25,"Secondary Striker","position.id","position.id-25","Mediapunta - SS"
11,"Left Defensive Midfield","position.id","position.id-11","Mediocampista defensivo izquierdo - LDM"
13,"Right Center Midfield","position.id","position.id-13","Mediocampista central derecho - RCM"
21,"Left Wing","position.id","position.id-21","Volante ofensivo izquierdo - LW"
2,"Right Back","position.id","position.id-2","Lateral derecho - RB"
6,"Left Back","position.id","position.id-6","Lateral izquierdo - LB"
10,"Center Defensive Midfield","position.id","position.id-10","Mediocampista defensivo central - CDM"
4,"Center Back","position.id","position.id-4","Defensa central - CB"
7,"Right Wing Back","position.id","position.id-7","Volante defensivo derecho - RWB"
8,"Left Wing Back","position.id","position.id-8","Volante defensivo izquierdo - LWB"
18,"Right Attacking Midfield","position.id","position.id-18","Mediocampista ofensivo derecho - RAM"
20,"Left Attacking Midfield","position.id","position.id-20","Mediocampista ofensivo izquierdo - LAM"
24,"Left Center Forward","position.id","position.id-24","Extremo izquierdo - LCF"
22,"Right Center Forward","position.id","position.id-22","Extremo derecho - RCF"
9,"Right Defensive Midfield","position.id","position.id-9","Mediocampista defensivo derecho - RDM"
14,"Center Midfield","position.id","position.id-14","Mediocampista central - MD"
37,"Head","shot.body_part.id","shot.body_part.id-37","Cabeza"
38,"Left Foot","shot.body_part.id","shot.body_part.id-38","Pie izquierdo"
40,"Right Foot","shot.body_part.id","shot.body_part.id-40","Pie derecho"
70,"Other","shot.body_part.id","shot.body_part.id-70","Otro"
93,"Normal","shot.technique.id","shot.technique.id-93","Normal"
91,"Half Volley","shot.technique.id","shot.technique.id-91","Media volea"
95,"Volley","shot.technique.id","shot.technique.id-95","Volea"
92,"Lob","shot.technique.id","shot.technique.id-92","Colocado"
90,"Diving Header","shot.technique.id","shot.technique.id-90","Palomita"
89,"Backheel","shot.technique.id","shot.technique.id-89","Taco"
94,"Overhead Kick","shot.technique.id","shot.technique.id-94","Chilena"
